Aggregate Timesheet Project -- Nov 01, 2023 to Nov 30, 2023

Case Number,Project,Client Name,Team Member,Billable,Non Billable,Total
"123/17652","Entick vs Carrington",undefined,"Martin - 10","0:0","0:0","0:0"
"99/1969","Fagan vs Metropolitan Police commissioner",undefined,"Martin - 10","0:0","0:0","0:0"
"12/2021","K.M. Tripati vs State of Maharashtra",undefined,"Martin - 10","0:0","0:0","0:0"
"12/2021","K.M. Tripati vs State of Maharashtra",undefined,"Vijay TM - 10","0:0","0:0","0:0"
"12/2021","K.M. Tripati vs State of Maharashtra",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"12345/2021","Child Custody Case - Ravin",undefined,"Martin - 10","0:0","0:0","0:0"
"12345/2021","Child Custody Case - Ravin",undefined,"Vijay TM - 10","0:0","0:0","0:0"
"12345/2021","Child Custody Case - Ravin",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"12345/2021","Child Custody Case - Ravin",undefined,"Rax TM for Lauditor Prod - 10","0:0","0:0","0:0"
"12/90","P. Choudry vs Raman",undefined,"Martin - 10","0:0","0:0","0:0"
"12/90","P. Choudry vs Raman",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"1234567","Test Matter #01",undefined,"Vijay TM - 10","0:0","0:0","0:0"
"1234567","Test Matter #01",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"test-001","Ec2- test 1",undefined,"Vijay TM - 10","0:0","0:0","0:0"
"test-001","Ec2- test 1",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"123","Time sheet testing matter",undefined,"Martin - 10","0:0","0:0","0:0"
"123","Time sheet testing matter",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"gh567","sunil corp law",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"gh567","sunil corp law",undefined,"Neela C RSB - 100","0:0","0:0","0:0"
"gh567","sunil corp law",undefined,"Susan - 1000","0:0","0:0","0:0"
"gh567","sunil corp law",undefined,"Liam Rodriguez - 1000","0:0","0:0","0:0"
"jh789","Accept the relationships with assign groups matter",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"jh789","Accept the relationships with assign groups matter",undefined,"Susan - 1000","0:0","0:0","0:0"
"jh789","Accept the relationships with assign groups matter",undefined,"Liam Rodriguez - 1000","0:0","0:0","0:0"
"gh678","Both Accept and Assign groups matter",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"gh678","Both Accept and Assign groups matter",undefined,"Susan - 1000","0:0","0:0","0:0"
"gh678","Both Accept and Assign groups matter",undefined,"Larsen andrew GH - 800","0:0","0:0","0:0"
"gh678","Both Accept and Assign groups matter",undefined,"Liam Rodriguez - 1000","0:0","0:0","0:0"
"123","Legal2Corporate 1",undefined,"A-Super User - 200","2:0","2:0","2:0"
"123","Legal2Corporate 1",undefined,"A-Admin - 200","0:0","0:0","0:0"
"123","Legal2Corporate 1",undefined,"A - Team Member - 100","0:0","0:0","0:0"
"123","Legal2Corporate 1",undefined,"A-GH - 150","0:0","0:0","0:0"
"K322","Legal Cases Matter",undefined,"SuperUserRSB - 10","0:30","0:30","0:30"
"NK3","Document checking legal",undefined,"RSB TM - 50","0:0","0:0","0:0"
"NK3","Document checking legal",undefined,"A - Team Member - 100","0:0","0:0","0:0"
"NJ3","Sample Test Matter",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"NJ3","Sample Test Matter",undefined,"Vengadesh RSB - 100","0:0","0:0","0:0"
"Case 201","MatterNotes check for Corpoo LM",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"Case 201","MatterNotes check for Corpoo LM",undefined,"Rax TM for Lauditor Prod - 10","0:0","0:0","0:0"
"1","LegalTeamMatter",undefined,"A - Team Member - 100","0:30","0:30","0:30"
"NH2","Matter SU created",undefined,"RSB TM - 50","0:0","0:0","0:0"
"NH2","Matter SU created",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"vgf567","Mewon accident case",undefined,"SuperUserRSB - 10","0:30","0:30","0:30"
"vgf567","Mewon accident case",undefined,"Liam Rodriguez - 1000","0:0","0:0","0:0"
"1","ATM-LegalMatter",undefined,"A-GH - 150","0:0","0:0","0:0"
"1","ATM-LegalMatter",undefined,"A-Super User - 200","0:0","0:0","0:0"
"1","ATM-LegalMatter",undefined,"A-Admin - 200","0:0","0:0","0:0"
"1","ATM-LegalMatter",undefined,"A - Team Member - 100","0:30","0:30","0:30"
"1","ATM-LegalMatter",undefined,"AK - TM - 10","0:0","0:0","0:0"
"vgf","Super user matter",undefined,"SuperUserRSB - 10","0:0","0:0","0:0"
"vgf","Super user matter",undefined,"Neela C RSB - 100","0:0","0:0","0:0"
"vgf","Super user matter",undefined,"Liam Rodriguez - 1000","0:0","0:0","0:0"
"KJ3","Meeting Editing",undefined,"Vengadesh RSB - 100","0:30","0:30","2:45"
"123","Income Tax Filing",undefined,"Martin - 10","0:0","0:0","0:0"
"123","Income Tax Filing",undefined,"Rachel Swan - 10","0:0","0:0","0:0"
"78/2021","Auditing",undefined,"Martin - 10","0:0","0:0","0:0"
